inventory_id,film_id,store_id,year_update,Mes_update,Dia_update
1,1,1,2006,02,15
2,1,1,2006,02,15
3,1,1,2006,02,15
4,1,1,2006,02,15
5,1,2,2006,02,15
6,1,2,2006,02,15
7,1,2,2006,02,15
8,1,2,2006,02,15
9,2,2,2006,02,15
10,2,2,2006,02,15
11,2,2,2006,02,15
12,3,2,2006,02,15
13,3,2,2006,02,15
14,3,2,2006,02,15
15,3,2,2006,02,15
16,4,1,2006,02,15
17,4,1,2006,02,15
18,4,1,2006,02,15
19,4,1,2006,02,15
20,4,2,2006,02,15
21,4,2,2006,02,15
22,4,2,2006,02,15
23,5,2,2006,02,15
24,5,2,2006,02,15
25,5,2,2006,02,15
26,6,1,2006,02,15
27,6,1,2006,02,15
28,6,1,2006,02,15
29,6,2,2006,02,15
30,6,2,2006,02,15
31,6,2,2006,02,15
32,7,1,2006,02,15
33,7,1,2006,02,15
34,7,2,2006,02,15
35,7,2,2006,02,15
36,7,2,2006,02,15
37,8,2,2006,02,15
38,8,2,2006,02,15
39,8,2,2006,02,15
40,8,2,2006,02,15
41,9,1,2006,02,15
42,9,1,2006,02,15
43,9,1,2006,02,15
44,9,2,2006,02,15
45,9,2,2006,02,15
46,10,1,2006,02,15
47,10,1,2006,02,15
48,10,1,2006,02,15
49,10,1,2006,02,15
50,10,2,2006,02,15
51,10,2,2006,02,15
52,10,2,2006,02,15
53,11,1,2006,02,15
54,11,1,2006,02,15
55,11,1,2006,02,15
56,11,1,2006,02,15
57,11,2,2006,02,15
58,11,2,2006,02,15
59,11,2,2006,02,15
60,12,1,2006,02,15
61,12,1,2006,02,15
62,12,1,2006,02,15
63,12,2,2006,02,15
64,12,2,2006,02,15
65,12,2,2006,02,15
66,12,2,2006,02,15
67,13,2,2006,02,15
68,13,2,2006,02,15
69,13,2,2006,02,15
70,13,2,2006,02,15
71,15,1,2006,02,15
72,15,1,2006,02,15
73,15,2,2006,02,15
74,15,2,2006,02,15
75,15,2,2006,02,15
76,15,2,2006,02,15
77,16,1,2006,02,15
78,16,1,2006,02,15
79,16,2,2006,02,15
80,16,2,2006,02,15
81,17,1,2006,02,15
82,17,1,2006,02,15
83,17,1,2006,02,15
84,17,2,2006,02,15
85,17,2,2006,02,15
86,17,2,2006,02,15
87,18,1,2006,02,15
88,18,1,2006,02,15
89,18,1,2006,02,15
90,18,2,2006,02,15
91,18,2,2006,02,15
92,18,2,2006,02,15
93,19,1,2006,02,15
94,19,1,2006,02,15
95,19,1,2006,02,15
96,19,1,2006,02,15
97,19,2,2006,02,15
98,19,2,2006,02,15
99,20,1,2006,02,15
100,20,1,2006,02,15
101,20,1,2006,02,15
102,21,1,2006,02,15
103,21,1,2006,02,15
104,21,2,2006,02,15
105,21,2,2006,02,15
106,21,2,2006,02,15
107,21,2,2006,02,15
108,22,1,2006,02,15
109,22,1,2006,02,15
110,22,1,2006,02,15
111,22,1,2006,02,15
112,22,2,2006,02,15
113,22,2,2006,02,15
114,22,2,2006,02,15
115,23,1,2006,02,15
116,23,1,2006,02,15
117,23,1,2006,02,15
118,23,2,2006,02,15
119,23,2,2006,02,15
120,24,1,2006,02,15
121,24,1,2006,02,15
122,24,1,2006,02,15
123,24,1,2006,02,15
124,25,1,2006,02,15
125,25,1,2006,02,15
126,25,1,2006,02,15
127,25,1,2006,02,15
128,25,2,2006,02,15
129,25,2,2006,02,15
130,26,1,2006,02,15
131,26,1,2006,02,15
132,26,2,2006,02,15
133,26,2,2006,02,15
134,26,2,2006,02,15
135,27,1,2006,02,15
136,27,1,2006,02,15
137,27,1,2006,02,15
138,27,1,2006,02,15
139,28,1,2006,02,15
140,28,1,2006,02,15
141,28,1,2006,02,15
142,29,1,2006,02,15
143,29,1,2006,02,15
144,30,1,2006,02,15
145,30,1,2006,02,15
146,31,1,2006,02,15
147,31,1,2006,02,15
148,31,1,2006,02,15
149,31,1,2006,02,15
150,31,2,2006,02,15
151,31,2,2006,02,15
152,31,2,2006,02,15
153,31,2,2006,02,15
154,32,2,2006,02,15
155,32,2,2006,02,15
156,34,2,2006,02,15
157,34,2,2006,02,15
158,34,2,2006,02,15
159,34,2,2006,02,15
160,35,1,2006,02,15
161,35,1,2006,02,15
162,35,1,2006,02,15
163,35,1,2006,02,15
164,35,2,2006,02,15
165,35,2,2006,02,15
166,35,2,2006,02,15
167,37,1,2006,02,15
168,37,1,2006,02,15
169,37,1,2006,02,15
170,37,1,2006,02,15
171,37,2,2006,02,15
172,37,2,2006,02,15
173,37,2,2006,02,15
174,39,1,2006,02,15
175,39,1,2006,02,15
176,39,1,2006,02,15
177,39,2,2006,02,15
178,39,2,2006,02,15
